"Alias","TotalInProgressDuration","TotalIdleDuration","OverallDuration","TotalQueuedDuration","TotalDataReplicationWaitDuration","TotalSuspendedDuration","SourceProviderDuration","DestinationProviderDuration","RelinquishedDurationInTicks","TotalStalledDueToCIInTicks","TotalStalledDueToHAInTicks","TotalStalledDueToTargetCpuInTicks","TotalStalledDueToSourceCpuInTicks","TotalStalledDueToMailboxLockedDurationInTicks","TotalStalledDueToSourceProxyUnknownInTicks","TotalStalledDueToTargetProxyUnknownInTicks","SourceLatencySampleCount","AverageSourceLatency","TotalNumberOfSourceSideRemoteCalls","DestinationLatencySampleCount","AverageDestinationLatency","TotalNumberOfDestinationSideRemoteCalls","WordBreaking_TotalTimeProcessingMessagesInTicks","TotalTransientFailureDurationInTicks","TotalInProgressDurationInTicks","MailboxSizeInMB","TransferredMailboxSizeInMB","PerMoveRate","BytesTransferredInMB","PerMoveTransferRate"
"vso04","00:00:00","00:00:00","2.20:20:05.8044924","2.15:44:24.0899747",,"04:35:41.7145177","00:00:00","00:00:00","0",,,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","2101,78071498871","0","NaN","0","NaN"
"ivk05","00:00:00","00:00:00","2.20:16:27.2102696","2.15:42:11.2305747",,"04:34:15.9796949","00:00:00","00:00:00","0",,,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","17,8602476119995","0","NaN","0","NaN"
"GEMHSTL1psfvmartinserverase","00:00:00","00:00:00","2.20:19:32.5075488","2.15:43:40.0117740",,"04:35:52.4957748","00:00:00","00:00:00","0",,,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","22,8230981826782","0","NaN","0","NaN"
"GEMHSTL1psfgmartinserverase","00:00:00","00:00:00","2.20:16:30.7727831","2.15:42:14.8555802",,"04:34:15.9172029","00:00:00","00:00:00","0",,,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","3,48197937011719","0","NaN","0","NaN"
"GEMHSTL1ProduktionsledningKOLmartinserverase","00:00:00","00:00:00","2.20:18:02.5854792","2.15:43:16.5432143",,"04:34:46.0422649","00:00:00","00:00:00","0",,,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","21,7372512817383","0","NaN","0","NaN"
"GEMHSTL1ProduktDF","00:00:00","00:00:00","2.20:20:22.1639080","2.15:44:26.0743514",,"04:35:56.0895566","00:00:00","00:00:00","0",,,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","13,2548313140869","0","NaN","0","NaN"
"GEMHSTL1Palladminmartinserverase","00:00:00","00:00:00","2.20:16:26.3196420","2.15:42:09.0118179",,"04:34:17.3078241","00:00:00","00:00:00","0",,,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","3499,80034637451","0","NaN","0","NaN"
"GEMGBGCGwebordergoteborgmartinserverase","00:00:00","00:00:00","2.20:15:48.4133175","2.15:41:31.0117374",,"04:34:17.4015801","00:00:00","00:00:00","0",,,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0,343096733093262","0","NaN","0","NaN"
"ruh05","00:00:00","00:00:00","2.20:15:54.6477014","2.15:42:15.9649553",,"04:33:38.6827461","00:00:00","00:00:00","0",,,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","1749,92346191406","0","NaN","0","NaN"
"vdf05","00:00:00","00:00:00","2.20:17:16.2885002","2.15:42:59.9181767",,"04:34:16.3703235","00:00:00","00:00:00","0",,,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","640,47015953064","0","NaN","0","NaN"
"GEMGBGCGGoteborgmartinserverase","00:00:00","00:00:00","2.20:18:03.6792288","2.15:43:07.9650648",,"04:34:55.7141640","00:00:00","00:00:00","0",,,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0,00441074371337891","0","NaN","0","NaN"
"utn14","00:00:00","00:00:00","2.20:19:33.6325489","2.15:43:40.4336446",,"04:35:53.1989043","00:00:00","00:00:00","0",,,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","12,2227230072021","0","NaN","0","NaN"
"fog04","00:00:00","00:00:00","2.20:17:11.1478591","2.15:42:35.9649913",,"04:34:35.1828678","00:00:00","00:00:00","0",,,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","91,5377311706543","0","NaN","0","NaN"
"tlm05","00:00:00","00:00:00","2.20:17:09.2884847","2.15:42:34.2931180",,"04:34:34.9953667","00:00:00","00:00:00","0",,,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","2887,44912528992","0","NaN","0","NaN"
"gemumel1umea","00:00:00","00:00:00","2.20:17:55.6323340","2.15:42:41.1993418",,"04:35:14.4329922","00:00:00","00:00:00","0",,,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","294,39607334137","0","NaN","0","NaN"
"afg05","00:00:00","00:00:00","2.20:15:12.4601112","2.15:41:57.9805409",,"04:33:14.4795703","00:00:00","00:00:00","0",,,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","2294,38194561005","0","NaN","0","NaN"
"tlg05","00:00:00","00:00:00","2.20:15:34.2101547","2.15:41:56.0586662",,"04:33:38.1514885","00:00:00","00:00:00","0",,,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","5300,70693206787","0","NaN","0","NaN"
"utn04","00:00:00","00:00:00","2.20:17:34.8197855","2.15:43:15.2619578",,"04:34:19.5578277","00:00:00","00:00:00","0",,,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","24,4438600540161","0","NaN","0","NaN"
"kontroll04","00:00:00","00:00:00","2.20:17:46.1948159","2.15:43:14.7150805",,"04:34:31.4797354","00:00:00","00:00:00","0",,,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","527,501979827881","0","NaN","0","NaN"
"fvv04","00:00:00","00:00:00","2.20:20:07.8513743","2.15:44:25.8556100",,"04:35:41.9957643","00:00:00","00:00:00","0",,,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","98,2417154312134","0","NaN","0","NaN"
"vrm04","00:00:00","00:00:00","2.20:19:16.9293874","2.15:43:37.1680101",,"04:35:39.7613773","00:00:00","00:00:00","0",,,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","1253,01417255402","0","NaN","0","NaN"
"vsh05","00:00:00","00:00:00","2.20:19:48.0544597","2.15:44:26.4181033",,"04:35:21.6363564","00:00:00","00:00:00","0",,,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","538,729228019714","0","NaN","0","NaN"
"GEMNRKL1fredagutskickserverase","00:00:00","00:00:00","2.20:15:42.4289249","2.15:41:30.5742478",,"04:34:11.8546771","00:00:00","00:00:00","0",,,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","701,899451255798","0","NaN","0","NaN"
"gemhstl1ivfexport","00:00:00","00:00:00","2.20:17:26.9447715","2.15:43:15.9963313",,"04:34:10.9484402","00:00:00","00:00:00","0",,,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","6229,04567909241","0","NaN","0","NaN"
"svk05","00:00:00","00:00:00","2.20:15:12.4444841","2.15:41:30.2461048",,"04:33:42.1983793","00:00:00","00:00:00","0",,,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","64,2527103424072","0","NaN","0","NaN"
"akc05","00:00:00","00:00:00","2.20:16:43.2728085","2.15:43:00.3088002",,"04:33:42.9640083","00:00:00","00:00:00","0",,,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","5147,77018260956","0","NaN","0","NaN"
"gemjnks1jonkoping","00:00:00","00:00:00","2.20:20:08.9451212","2.15:44:23.4806044",,"04:35:45.4645168","00:00:00","00:00:00","0",,,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","288,153583526611","0","NaN","0","NaN"
"fastighet04","00:00:00","00:00:00","2.20:17:12.2728743","2.15:42:35.6212528",,"04:34:36.6516215","00:00:00","00:00:00","0",,,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","2,14086723327637","0","NaN","0","NaN"
"gemklmr1transport","00:00:00","00:00:00","2.20:17:55.6010893","2.15:42:40.8243512",,"04:35:14.7767381","00:00:00","00:00:00","0",,,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","78,2943553924561","0","NaN","0","NaN"
"gemnrkl1ivf","00:00:00","00:00:00","2.20:16:25.8977687","2.15:42:17.3087104",,"04:34:08.5890583","00:00:00","00:00:00","0",,,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","71,2982540130615","0","NaN","0","NaN"
